"MSZoning","Alley","LotShape","LandContour","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","RoofStyle","Exterior1st","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","HeatingQC","Electrical","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","PoolQC","Fence","MiscFeature"
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodSawyer","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleHip","Exterior1stHdBoard","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1Rec","HeatingQCEx","ElectricalSBrkr","BsmtFullBath1","","FullBath1","","BedroomAbvGr3","KitchenQualTA","FunctionalTyp","","","GarageTypeDetchd","GarageFinishUnf","GarageCars1","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeIR1","LandContourLvl","LotConfigInside","NeighborhoodNridgHt","Condition1Norm","BldgType1Fam","HouseStyle2Story","RoofStyleHip","Exterior1stWdShing","MasVnrTypeStone","ExterQualEx","ExterCondTA","FoundationPConc","BsmtQualEx","BsmtCondTA","BsmtExposureNo","BsmtFinType1GLQ","HeatingQCEx","ElectricalSBrkr","BsmtFullBath1","","FullBath3","","BedroomAbvGr4","KitchenQualEx","FunctionalTyp","Fireplaces2","FireplaceQuGd","GarageTypeBuiltIn","GarageFinishFin","GarageCars3","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeIR2","LandContourLvl","LotConfigInside","NeighborhoodSawyer","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleHip","Exterior1stHdBoard","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1ALQ","HeatingQCTA","ElectricalSBrkr","BsmtFullBath1","","FullBath1","","BedroomAbvGr2","KitchenQualTA","FunctionalTyp","","","GarageTypeDetchd","GarageFinishUnf","GarageCars1","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeIR1","LandContourLvl","LotConfigInside","NeighborhoodCollgCr","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stVinylSd","MasVnrTypeStone","ExterQualGd","ExterCondTA","FoundationPConc","BsmtQualGd","BsmtCondTA","BsmtExposureAv","BsmtFinType1Unf","HeatingQCEx","ElectricalSBrkr","","","FullBath2","","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","Fireplaces1","FireplaceQuGd","GarageTypeAttchd","GarageFinishRFn","GarageCars3","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeIR1","LandContourLvl","LotConfigCorner","NeighborhoodNAmes","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleHip","Exterior1stMetalSd","MasVnrTypeBrkFace","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1BLQ","HeatingQCTA","ElectricalSBrkr","BsmtFullBath1","","FullBath1","HalfBath1","BedroomAbvGr2","KitchenQualTA","FunctionalTyp","Fireplaces1","FireplaceQuFa","GarageTypeAttchd","GarageFinishRFn","GarageCars1","GarageQualTA","GarageCondTA","PavedDriveY","","FenceGdWo",""
"MSZoningRM","","LotShapeReg","LandContourLvl","LotConfigCorner","NeighborhoodBrkSide","Condition1Norm","BldgType1Fam","HouseStyle1.5Unf","RoofStyleGable","Exterior1stWd Sdng","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationBrkTil","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1Unf","HeatingQCEx","ElectricalFuseA","","","FullBath1","","BedroomAbvGr2","KitchenQualTA","FunctionalTyp","","","GarageTypeDetchd","GarageFinishUnf","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","FenceGdPrv",""
"MSZoningRL","","LotShapeIR1","LandContourLvl","LotConfigCulDSac","NeighborhoodNAmes","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stWd Sdng","MasVnrTypeBrkFace","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1ALQ","HeatingQCEx","ElectricalSBrkr","BsmtFullBath1","","FullBath1","","BedroomAbvGr2","KitchenQualTA","FunctionalTyp","Fireplaces1","FireplaceQuTA","GarageTypeAttchd","GarageFinishFin","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","","MiscFeatureShed"
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodSawyer","Condition1Norm","BldgTypeDuplex","HouseStyle1Story","RoofStyleGable","Exterior1stMetalSd","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationSlab","","","","","HeatingQCTA","ElectricalSBrkr","","","FullBath2","","BedroomAbvGr2","KitchenQualTA","FunctionalTyp","","","GarageTypeCarPort","GarageFinishUnf","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","","MiscFeatureShed"
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodSawyerW","Condition1RRAe","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stVinylSd","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationPConc","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1GLQ","HeatingQCEx","ElectricalSBrkr","BsmtFullBath1","","FullBath1","HalfBath1","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","","","GarageTypeDetchd","GarageFinishUnf","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodNAmes","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleHip","Exterior1stBrkFace","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1LwQ","HeatingQCTA","ElectricalSBrkr","","","FullBath1","","BedroomAbvGr3","KitchenQualTA","FunctionalMin1","","","GarageTypeAttchd","GarageFinishUnf","GarageCars1","GarageQualTA","GarageCondTA","PavedDriveY","","FenceMnPrv",""
"MSZoningRL","","LotShapeIR1","LandContourLvl","LotConfigCorner","NeighborhoodNridgHt","Condition1Norm","BldgType1Fam","HouseStyle2Story","RoofStyleGable","Exterior1stVinylSd","MasVnrTypeBrkFace","ExterQualGd","ExterCondTA","FoundationPConc","BsmtQualEx","BsmtCondTA","BsmtExposureAv","BsmtFinType1Unf","HeatingQCEx","ElectricalSBrkr","","","FullBath3","HalfBath1","BedroomAbvGr4","KitchenQualGd","FunctionalTyp","Fireplaces1","FireplaceQuGd","GarageTypeBuiltIn","GarageFinishRFn","GarageCars3","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRM","AlleyGrvl","LotShapeReg","LandContourBnk","LotConfigInside","NeighborhoodIDOTRR","Condition1Norm","BldgType1Fam","HouseStyle1.5Unf","RoofStyleGable","Exterior1stWd Sdng","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationPConc","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1Unf","HeatingQCEx","ElectricalFuseF","","","FullBath1","","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","Fireplaces1","FireplaceQuGd","GarageTypeAttchd","GarageFinishUnf","GarageCars1","GarageQualTA","GarageCondTA","PavedDriveN","","FenceGdPrv",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodCollgCr","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleHip","Exterior1stVinylSd","MasVnrTypeBrkFace","ExterQualGd","ExterCondTA","FoundationPConc","BsmtQualGd","BsmtCondTA","BsmtExposureNo","BsmtFinType1Unf","HeatingQCEx","ElectricalSBrkr","","","FullBath2","","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","Fireplaces1","FireplaceQuGd","GarageTypeAttchd","GarageFinishRFn","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRM","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodMeadowV","Condition1Norm","BldgTypeTwnhsE","HouseStyle1Story","RoofStyleGable","Exterior1stCemntBd","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationPConc","BsmtQualGd","BsmtCondTA","BsmtExposureNo","BsmtFinType1GLQ","HeatingQCTA","ElectricalSBrkr","BsmtFullBath1","","FullBath1","","BedroomAbvGr3","KitchenQualTA","FunctionalTyp","Fireplaces1","FireplaceQuTA","GarageTypeAttchd","GarageFinishUnf","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeIR1","LandContourLvl","LotConfigInside","NeighborhoodSawyer","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stPlywood","MasVnrTypeNone","ExterQualTA","ExterCondGd","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureMn","BsmtFinType1Rec","HeatingQCEx","ElectricalSBrkr","BsmtFullBath1","","FullBath1","","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","Fireplaces1","FireplaceQuTA","GarageTypeAttchd","GarageFinishUnf","GarageCars1","GarageQualTA","GarageCondTA","PavedDriveY","","FenceMnPrv",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigCorner","NeighborhoodNridgHt","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stVinylSd","MasVnrTypeStone","ExterQualGd","ExterCondTA","FoundationPConc","BsmtQualGd","BsmtCondTA","BsmtExposureNo","BsmtFinType1Unf","HeatingQCEx","ElectricalSBrkr","","","FullBath2","","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","Fireplaces1","FireplaceQuGd","GarageTypeAttchd","GarageFinishRFn","GarageCars3","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigCorner","NeighborhoodNAmes","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stWd Sdng","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureMn","BsmtFinType1BLQ","HeatingQCTA","ElectricalSBrkr","","BsmtHalfBath1","FullBath1","","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","","","GarageTypeDetchd","GarageFinishUnf","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodNridgHt","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stVinylSd","MasVnrTypeStone","ExterQualGd","ExterCondTA","FoundationPConc","BsmtQualEx","BsmtCondTA","BsmtExposureNo","BsmtFinType1GLQ","HeatingQCEx","ElectricalSBrkr","BsmtFullBath1","","FullBath2","","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","Fireplaces1","FireplaceQuGd","GarageTypeAttchd","GarageFinishRFn","GarageCars3","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeIR1","LandContourLvl","LotConfigCulDSac","NeighborhoodNAmes","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stMetalSd","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureGd","BsmtFinType1BLQ","HeatingQCTA","ElectricalSBrkr","BsmtFullBath1","","FullBath1","","BedroomAbvGr2","KitchenQualTA","FunctionalTyp","Fireplaces2","FireplaceQuGd","GarageTypeAttchd","GarageFinishRFn","GarageCars1","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRM","","LotShapeIR1","LandContourLvl","LotConfigInside","NeighborhoodBrkSide","Condition1Feedr","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stMetalSd","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationBrkTil","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1Unf","HeatingQCFa","ElectricalSBrkr","","","FullBath1","","BedroomAbvGr1","KitchenQualFa","FunctionalTyp","","","GarageTypeDetchd","GarageFinishUnf","GarageCars1","GarageQualFa","GarageCondTA","PavedDriveY","","",""
"MSZoningC (all)","AlleyPave","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodIDOTRR","Condition1Feedr","BldgType1Fam","HouseStyle2Story","RoofStyleGambrel","Exterior1stBrkFace","MasVnrTypeNone","ExterQualTA","ExterCondFa","FoundationBrkTil","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1Unf","HeatingQCTA","ElectricalSBrkr","","","FullBath1","","BedroomAbvGr3","KitchenQualTA","FunctionalTyp","","","GarageTypeDetchd","GarageFinishUnf","GarageCars1","GarageQualTA","GarageCondFa","PavedDriveN","","FenceMnPrv",""
"MSZoningRL","","LotShapeIR1","LandContourLvl","LotConfigCulDSac","NeighborhoodSawyer","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stHdBoard","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1Unf","HeatingQCGd","ElectricalSBrkr","","","FullBath1","HalfBath1","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","","","GarageTypeAttchd","GarageFinishUnf","GarageCars1","GarageQualTA","GarageCondTA","PavedDriveY","","FenceMnPrv",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigCorner","NeighborhoodCollgCr","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stVinylSd","MasVnrTypeNone","ExterQualGd","ExterCondTA","FoundationPConc","BsmtQualEx","BsmtCondTA","BsmtExposureAv","BsmtFinType1Unf","HeatingQCEx","ElectricalSBrkr","","","FullBath2","","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","","","GarageTypeAttchd","GarageFinishRFn","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeIR1","LandContourLvl","LotConfigInside","NeighborhoodNAmes","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleHip","Exterior1stBrkFace","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1Rec","HeatingQCGd","ElectricalSBrkr","","BsmtHalfBath1","FullBath1","HalfBath1","BedroomAbvGr4","KitchenQualGd","FunctionalTyp","Fireplaces1","FireplaceQuGd","GarageTypeAttchd","GarageFinishRFn","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodNridgHt","Condition1Norm","BldgTypeTwnhsE","HouseStyle1Story","RoofStyleHip","Exterior1stMetalSd","MasVnrTypeBrkFace","ExterQualEx","ExterCondTA","FoundationPConc","BsmtQualEx","BsmtCondTA","BsmtExposureNo","BsmtFinType1GLQ","HeatingQCEx","ElectricalSBrkr","BsmtFullBath1","","FullBath2","","BedroomAbvGr2","KitchenQualEx","FunctionalTyp","Fireplaces1","FireplaceQuGd","GarageTypeAttchd","GarageFinishFin","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodNridgHt","Condition1Norm","BldgType1Fam","HouseStyle2Story","RoofStyleGable","Exterior1stVinylSd","MasVnrTypeStone","ExterQualGd","ExterCondTA","FoundationPConc","BsmtQualEx","BsmtCondTA","BsmtExposureAv","BsmtFinType1Unf","HeatingQCEx","ElectricalSBrkr","","","FullBath3","HalfBath1","BedroomAbvGr4","KitchenQualGd","FunctionalTyp","Fireplaces1","FireplaceQuGd","GarageTypeBuiltIn","GarageFinishFin","GarageCars3","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigCorner","NeighborhoodCollgCr","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stVinylSd","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationPConc","BsmtQualGd","BsmtCondTA","BsmtExposureNo","BsmtFinType1Unf","HeatingQCEx","ElectricalSBrkr","","","FullBath1","HalfBath1","BedroomAbvGr3","KitchenQualTA","FunctionalTyp","","","GarageTypeAttchd","GarageFinishUnf","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodNAmes","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleHip","Exterior1stWd Sdng","MasVnrTypeBrkFace","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1Rec","HeatingQCGd","ElectricalSBrkr","","BsmtHalfBath1","FullBath1","","BedroomAbvGr3","KitchenQualTA","FunctionalTyp","Fireplaces1","FireplaceQuTA","GarageTypeAttchd","GarageFinishFin","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodNAmes","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stVinylSd","MasVnrTypeNone","ExterQualTA","ExterCondGd","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1GLQ","HeatingQCTA","ElectricalSBrkr","BsmtFullBath1","","FullBath1","","BedroomAbvGr3","KitchenQualGd","FunctionalTyp","","","GarageTypeDetchd","GarageFinishUnf","GarageCars1","GarageQualTA","GarageCondTA","PavedDriveY","","",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodEdwards","Condition1Norm","BldgTypeDuplex","HouseStyle1Story","RoofStyleGable","Exterior1stAsbShng","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationPConc","","","","","HeatingQCTA","ElectricalFuseP","","","FullBath2","","BedroomAbvGr2","KitchenQualFa","FunctionalTyp","","","","","","","","PavedDriveN","","",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodNAmes","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stWd Sdng","MasVnrTypeBrkFace","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureNo","BsmtFinType1Rec","HeatingQCEx","ElectricalSBrkr","","","FullBath2","","BedroomAbvGr3","KitchenQualTA","FunctionalTyp","Fireplaces1","FireplaceQuTA","GarageTypeAttchd","GarageFinishRFn","GarageCars2","GarageQualTA","GarageCondTA","PavedDriveY","","FenceGdWo",""
"MSZoningRL","","LotShapeReg","LandContourLvl","LotConfigInside","NeighborhoodTimber","Condition1Norm","BldgType1Fam","HouseStyle1Story","RoofStyleGable","Exterior1stVinylSd","MasVnrTypeNone","ExterQualTA","ExterCondGd","FoundationCBlock","BsmtQualTA","BsmtCondTA","BsmtExposureGd","BsmtFinType1BLQ","HeatingQCGd","ElectricalSBrkr","","BsmtHalfBath1","FullBath1","HalfBath1","BedroomAbvGr2","KitchenQualTA","FunctionalTyp","Fireplaces2","FireplaceQuGd","GarageTypeAttchd","GarageFinishRFn","GarageCars1","GarageQualTA","GarageCondTA","PavedDriveP","","",""
"MSZoningRL","","LotShapeIR1","LandContourLvl","LotConfigCulDSac","NeighborhoodSawyerW","Condition1Norm","BldgType1Fam","HouseStyleSFoyer","RoofStyleGable","Exterior1stHdBoard","MasVnrTypeNone","ExterQualTA","ExterCondTA","FoundationCBlock","BsmtQualGd","BsmtCondTA","BsmtExposureAv","BsmtFinType1ALQ","HeatingQCGd","ElectricalSBrkr","BsmtFullBath1","","FullBath1","","BedroomAbvGr2","KitchenQualGd","FunctionalTyp","","","GarageTypeAttchd","GarageFinishRFn","GarageCars2","GarageQualTA","GarageCondGd","PavedDriveY","","FenceMnPrv",""
